,containers/pulling/ghcr.io/converged-computing/container-chonks-run1:125-layers-size-682439577-bytes,containers/pulling/ghcr.io/converged-computing/container-chonks-run1:9-layers-size-127399102-bytes,containers/pulling/ghcr.io/converged-computing/container-chonks-run1:125-layers-size-53049507-bytes,containers/pulling/ghcr.io/converged-computing/container-chonks-run1:9-layers-size-103513992-bytes,containers/pulling/ghcr.io/converged-computing/container-chonks-run1:9-layers-size-66460665-bytes,containers/pulling/ghcr.io/converged-computing/container-chonks-run1:9-layers-size-387602448-bytes,containers/pulling/ghcr.io/converged-computing/container-chonks-run1:125-layers-size-158049655-bytes,containers/pulling/ghcr.io/converged-computing/container-chonks-run1:125-layers-size-315018606-bytes,containers/pulling/ghcr.io/converged-computing/container-chonks-run1:9-layers-size-315018606-bytes,containers/pulling/ghcr.io/converged-computing/container-chonks-run1:9-layers-size-48702097-bytes,containers/pulling/ghcr.io/converged-computing/container-chonks-run1:9-layers-size-158049655-bytes,containers/pulling/ghcr.io/converged-computing/container-chonks-run1:9-layers-size-491514346-bytes,containers/pulling/ghcr.io/converged-computing/container-chonks-run1:9-layers-size-2770722493-bytes,containers/pulling/ghcr.io/converged-computing/container-chonks-run1:125-layers-size-2770722493-bytes,containers/pulling/ghcr.io/converged-computing/container-chonks-run1:9-layers-size-682439577-bytes,containers/pulling/ghcr.io/converged-computing/container-chonks-run1:125-layers-size-48702097-bytes,containers/pulling/ghcr.io/converged-computing/container-chonks-run1:9-layers-size-266728773-bytes,containers/pulling/ghcr.io/converged-computing/container-chonks-run1:125-layers-size-127399102-bytes,containers/pulling/ghcr.io/converged-computing/container-chonks-run1:125-layers-size-86388866-bytes,containers/pulling/ghcr.io/converged-computing/container-chonks-run1:125-layers-size-66460665-bytes,containers/pulling/ghcr.io/converged-computing/container-chonks-run1:9-layers-size-86388866-bytes,containers/pulling/ghcr.io/converged-computing/container-chonks-run1:125-layers-size-266728773-bytes,containers/pulling/ghcr.io/converged-computing/container-chonks-run1:9-layers-size-213665412-bytes,containers/pulling/ghcr.io/converged-computing/container-chonks-run1:9-layers-size-1176249324-bytes,containers/pulling/ghcr.io/converged-computing/container-chonks-run1:125-layers-size-19034736629-bytes,containers/pulling/ghcr.io/converged-computing/container-chonks-run1:125-layers-size-103513992-bytes,containers/pulling/ghcr.io/converged-computing/container-chonks-run1:9-layers-size-53049507-bytes,containers/pulling/ghcr.io/converged-computing/container-chonks-run1:125-layers-size-1176249324-bytes,containers/pulling/ghcr.io/converged-computing/container-chonks-run1:125-layers-size-387602448-bytes,containers/pulling/ghcr.io/converged-computing/container-chonks-run1:9-layers-size-19034736629-bytes,containers/pulling/ghcr.io/converged-computing/container-chonks-run1:125-layers-size-213665412-bytes,containers/pulling/ghcr.io/converged-computing/container-chonks-run1:125-layers-size-491514346-bytes
containers/pulling/ghcr.io/converged-computing/container-chonks-run1:125-layers-size-682439577-bytes,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
containers/pulling/ghcr.io/converged-computing/container-chonks-run1:9-layers-size-127399102-bytes,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
containers/pulling/ghcr.io/converged-computing/container-chonks-run1:125-layers-size-53049507-bytes,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
containers/pulling/ghcr.io/converged-computing/container-chonks-run1:9-layers-size-103513992-bytes,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
containers/pulling/ghcr.io/converged-computing/container-chonks-run1:9-layers-size-66460665-bytes,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
containers/pulling/ghcr.io/converged-computing/container-chonks-run1:9-layers-size-387602448-bytes,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
containers/pulling/ghcr.io/converged-computing/container-chonks-run1:125-layers-size-158049655-bytes,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
containers/pulling/ghcr.io/converged-computing/container-chonks-run1:125-layers-size-315018606-bytes,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
containers/pulling/ghcr.io/converged-computing/container-chonks-run1:9-layers-size-315018606-bytes,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
containers/pulling/ghcr.io/converged-computing/container-chonks-run1:9-layers-size-48702097-bytes,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
containers/pulling/ghcr.io/converged-computing/container-chonks-run1:9-layers-size-158049655-bytes,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
containers/pulling/ghcr.io/converged-computing/container-chonks-run1:9-layers-size-491514346-bytes,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
