,uri,full_uri,layer_size,platform,arch,digest,os,schema_version
0,ghcr.io/converged-computing/metric-minife,ghcr.io/converged-computing/metric-minife:cpu-zen4,30439866,{},unknown,sha256:9b857f539cb142c9aa2201a17bb8e1cd5cf12edd4a65adf5732fe9f4343964cf,unknown,2
1,ghcr.io/converged-computing/metric-minife,ghcr.io/converged-computing/metric-minife:cpu-zen4,183284920,{},unknown,sha256:95a092ea8938db7729849304b60d98287aa6d3a28cd8144076922768419c9e3d,unknown,2
2,ghcr.io/converged-computing/metric-minife,ghcr.io/converged-computing/metric-minife:cpu-zen4,129858404,{},unknown,sha256:e8081507e9ee9e6ed8309c389855b80804a53df0f11d5c398336a739fffdcf4d,unknown,2
3,ghcr.io/converged-computing/metric-minife,ghcr.io/converged-computing/metric-minife:cpu-zen4,55517828,{},unknown,sha256:dceea02ba2fcf86c1fcb65fa979f7f6803bce48bb6a6da480902e1b0bf49ebc5,unknown,2
4,ghcr.io/converged-computing/metric-minife,ghcr.io/converged-computing/metric-minife:cpu-zen4,29483910,{},unknown,sha256:ca850bcd26f19c921f3de967874d93f9bce86ee377361868f578f810505c2837,unknown,2
5,ghcr.io/converged-computing/metric-minife,ghcr.io/converged-computing/metric-minife:cpu-zen4,18091250,{},unknown,sha256:9724542825ebd75991ca5bda727e385c980a76b90f993869a5758bc1a661ec15,unknown,2
6,ghcr.io/converged-computing/metric-minife,ghcr.io/converged-computing/metric-minife:cpu-zen4,865749,{},unknown,sha256:01fce0fdee101dd9891da45c5bba20166aa3c5603dc2d50309395dd72ce9965c,unknown,2
7,ghcr.io/converged-computing/metric-minife,ghcr.io/converged-computing/metric-minife:cpu-zen4,615472,{},unknown,sha256:fc76be393226c0238cbc122408b45b4fbff5cabf17d369d8f0be9d3396f30d31,unknown,2
8,ghcr.io/converged-computing/metric-minife,ghcr.io/converged-computing/metric-minife:cpu-zen4,112,{},unknown,sha256:286e2e7eb7bf8eede8a9d744b09267442d17bf93b8a57f7c34bbe6724973e40e,unknown,2
9,ghcr.io/converged-computing/metric-minife,ghcr.io/converged-computing/metric-minife:cpu-zen4,1920507,{},unknown,sha256:6d34600ecb03b0fb05a2230614d226821a915ca26db9f94f200c8b78feccec80,unknown,2
10,ghcr.io/converged-computing/metric-minife,ghcr.io/converged-computing/metric-minife:cpu-zen4,32,{},unknown,sha256:4f4fb700ef54461cfa02571ae0db9a0dc1e0cdb5577484a6d75e68dc38e8acc1,unknown,2
